Date,Open,High,Low,Close,Volume,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI_14,Momentum_10,prev_close,True_Range,ATR_14,PSAR,target
1994-06-07,711.8505859375,711.8505859375,711.8505859375,711.8505859375,191333,0.016878126447743114,0.03905024979640892,0.0,0.008889495506596568,0.0,0.016878126447743114,0.055928376244152034,0.055928376244152034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.767481205861564,2.6852871367989657,699.9367065429688,11.91387939453125,6.964094437715972,664.9100805664062,0.0
1994-06-08,711.8505859375,711.8505859375,711.8505859375,711.8505859375,409333,0.0,0.016878126447743114,0.03905024979640892,0.0,0.0,0.0,0.016878126447743114,0.055928376244152034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.767481205861564,5.40241892286727,711.8505859375,0.0,6.46665912073626,666.78770078125,-0.025425012624286758
1994-06-09,693.9799194335938,693.9799194335938,693.9799194335938,693.9799194335938,652666,-0.025425012624286758,0.0,0.016878126447743114,0.03905024979640892,0.0,-0.025425012624286758,-0.025425012624286758,-0.008546886176543644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.14030173370976,3.5555744185239533,711.8505859375,17.87066650390625,7.281231076676974,668.5902161875,0.010672155335391231
1994-06-10,701.4258422851562,701.4258422851562,701.4258422851562,701.4258422851562,104000,0.010672155335391231,-0.025425012624286758,0.0,0.016878126447743114,0.0,0.010672155335391231,-0.014752857288895527,-0.014752857288895527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.15101020043787,5.605368412105117,693.9799194335938,7.4459228515625,7.292994774883083,670.3206309775001,0.002121109293059753
1994-06-13,702.9152221679688,702.9152221679688,702.9152221679688,702.9152221679688,353333,0.002121109293059753,0.010672155335391231,-0.025425012624286758,0.0,0.0,0.002121109293059753,0.012793264628450984,-0.012631747995835774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.93938993619843,5.829606673298306,701.4258422851562,1.4893798828125,6.878450854020898,671.9818291759001,-0.006376174001258228
1994-06-14,698.4475708007812,698.4475708007812,698.4475708007812,698.4475708007812,212000,-0.006376174001258228,0.002121109293059753,0.010672155335391231,-0.025425012624286758,0.0,-0.006376174001258228,-0.004255064708198475,0.006417090627192756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.55745337950095,5.156965404434316,702.9152221679688,4.4676513671875,6.706250890675656,673.5765794463641,-0.006417090627192756
1994-06-15,693.9799194335938,693.9799194335938,693.9799194335938,693.9799194335938,316000,-0.006417090627192756,-0.006376174001258228,0.002121109293059753,0.010672155335391231,0.0,-0.006417090627192756,-0.012793264628450984,-0.010672155335391231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.233986405937785,4.017904722279476,698.4475708007812,4.4676513671875,6.546350924712216,675.1075397060096,-0.021693004367620006
1994-06-16,679.0875244140625,679.0875244140625,679.0875244140625,679.0875244140625,385333,-0.021693004367620006,-0.006417090627192756,-0.006376174001258228,0.002121109293059753,0.0,-0.021693004367620006,-0.028110094994812762,-0.03448626899607099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.48446047318942,0.8849284699065836,693.9799194335938,14.89239501953125,7.142496931485004,676.5772615552692,-0.0021953459206445203
1994-06-17,677.5983276367188,677.5983276367188,677.5983276367188,677.5983276367188,266000,-0.0021953459206445203,-0.021693004367620006,-0.006417090627192756,-0.006376174001258228,0.0,-0.0021953459206445203,-0.023888350288264526,-0.030305440915457282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.87584503857946,0.6636940855912935,679.0875244140625,1.48919677734375,6.738689777617772,711.8505859375,-0.013274533014222989
1994-06-20,668.6629638671875,668.6629638671875,668.6629638671875,668.6629638671875,308000,-0.013274533014222989,-0.0021953459206445203,-0.021693004367620006,-0.006417090627192756,0.0,-0.013274533014222989,-0.01546987893486751,-0.037162883302487515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.364214521308725,-4.468081525577395,677.5983276367188,8.93536376953125,6.895595062754448,711.1655407714844,-0.015712590570523766
1994-06-21,658.2386474609375,658.2386474609375,658.2386474609375,658.2386474609375,568666,-0.015712590570523766,-0.013274533014222989,-0.0021953459206445203,-0.021693004367620006,0.0,-0.015712590570523766,-0.028987123584746755,-0.031182469505391275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.778956576656853,-7.531347102279352,668.6629638671875,10.42431640625,7.147646587289844,709.4654376953125,0.0011304199706145823
1994-06-22,658.983154296875,658.983154296875,658.983154296875,658.983154296875,102666,0.0011304199706145823,-0.015712590570523766,-0.013274533014222989,-0.0021953459206445203,0.0,0.0011304199706145823,-0.014582170599909183,-0.027856703614132172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.330001255495702,-7.426759587617552,658.2386474609375,0.7445068359375,6.6902794621932475,706.39183028125,-0.0011304199706145823
1994-06-23,658.2386474609375,658.2386474609375,658.2386474609375,658.2386474609375,123333,-0.0011304199706145823,0.0011304199706145823,-0.015712590570523766,-0.013274533014222989,0.0,-0.0011304199706145823,0.0,-0.015712590570523766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.063691899138774,-5.150188207437938,658.983154296875,0.7445068359375,6.2655814174606945,703.5026393120313,-0.02868872895515029
